Datum,Event,Location,Stadt,Link
2025-03-21,UNREAL HARD EDITION,Carlswerk,Köln,https://www.instagram.com/reel/DFN7aFbMMSN/?igsh=NTIwYXM5ZWhna2xz
2025-04-19,Affenkäfig Essigfabrik,Essigfabrik,Köln,https://affenkaefig.info/affenkaefig-essigfabrik-19-04-2025//
2025-03-29,Affenkäfig @ Matrix Bochum,Matrix,Bochum,https://affenkaefig.info/affenkaefig-xxx-matrix-xxx-bochum-29-03-2025/
2025-01-25,DEVOTION,Junkyard,Dortmund,https://junkyard.ruhr
2025-01-25,HIGH VOLTAGE,Schlachthof,Düsseldorf,https://www.instagram.com/reel/DEnMAh_M0-f/?igsh=MnhnemFienRtMWpt
2025-03-15,MDMA,Essigfabrik & Elektroküche,Köln,https://ticketkings.de/event/m-d-m-a-musik-die-mich-antreibt-15-03-2025-essigfabrik-elektrokueche/?fbclid=PAY2xjawH7Y3xleHRuA2FlbQIxMQABpjWJMTZ34aMRplKtfmMhOGFFvg9K09_PcnAikmE0K0Vfa4B-nG6-CQZ8Cw_aem_GzTnzLT2aQeu8JZrcN11hQ
2025-01-24,HIGH VOLTAGE B2B NIGHT,Klub Domhof,Köln,https://www.instagram.com/reel/DEkuewjs6lP/?igsh=MTg3Zmx3azVnY21hag==
2025-03-02,Affenkäfig Karnevalsrave 2025 Phase II,Artheater,Köln,https://affenkaefig.info/affenkaefig-karnevalsrave-2025-artheater-essigfabrik-011-02-01-03-2025/
2025-03-01,Affenkäfig Karnevalsrave 2025 Phase I,Artheater & Essigfabrik,Köln,https://affenkaefig.info/affenkaefig-karnevalsrave-2025-artheater-essigfabrik-011-02-01-03-2025/
2025-02-08,UNREAL WEEKENDER NIGHT II,Bootshaus,Köln,https://www.instagram.com/reel/DDICABFAIza/?igsh=MXd3d2NycWpiMWlmYQ==
2025-02-07,UNREAL WEEKENDER NIGHT I,Bootshaus,Köln,https://www.instagram.com/reel/DDICABFAIza/?igsh=MXd3d2NycWpiMWlmYQ==
2025-01-25,SAMY'S FAMILY HARD TECHNO,Samy's Club,Düsseldorf,https://www.instagram.com/reel/DFIZBkwMaO7/?igsh=bHYzeXc0M2xvMmZk
2025-01-24,SAMY'S FAMILY HARD TECHNO,Samy's Club,Düsseldorf,https://www.instagram.com/reel/DFIZBkwMaO7/?igsh=bHYzeXc0M2xvMmZk
2025-02-21,BREAKOUT,Rotunde,Bochum,https://www.instagram.com/reel/DFI3pfksPvQ/?igsh=Ym1qaDE1eGc5dHpk
2025-01-24,Bootshaus & NIBIRII PRES. ZEUZ – ALL NIGHT LONG,Bootshaus,Köln,https://bootshaus.tv/events/bootshaus-nibirii-pres-zeuz-all-night-long/
2025-02-15,EVACUATE SUPREMACY AFTERPARTY,Prismatic,Dortmund,https://www.instagram.com/reel/DEFACP8MAai/?igsh=MThmYmZlcXRxMmlkbg==
2025-02-22,U-BOUNCE SCHNELLER ALS DER REST,U-Club,Wuppertal,https://www.instagram.com/p/DFF_foFIWmj/?igsh=MTRsOHdtZGtpZXI2dg==
2025-02-02,BLITZ & DONNER AFTERHOUR (6-13Uhr),Projekt X,Bochum,https://www.instagram.com/reel/DFF-Vy8s6g4/?igsh=MWlmcWUzd3V3c2h1Ng==
2025-02-08,BASSMANIA HARDTECHNO,Favela,Münster,https://www.instagram.com/p/DFFaQi8Nv5i/?igsh=MWZyemdsYWh2ODJyZQ==
2025-02-05,180 MIN RAVE (20-23Uhr),Prismatic,Dortmund,https://www.instagram.com/reel/DEjlS_ys7j-/?igsh=OG9ydDVuM2p1anpk
2025-03-05,180 MIN RAVE (20-23Uhr),Prismatic,Dortmund,https://www.instagram.com/reel/DEjlS_ys7j-/?igsh=OG9ydDVuM2p1anpk
2025-04-02,180 MIN RAVE (20-23Uhr),Prismatic,Dortmund,https://www.instagram.com/reel/DEjlS_ys7j-/?igsh=OG9ydDVuM2p1anpk
2025-05-07,180 MIN RAVE (20-23Uhr),Prismatic,Dortmund,https://www.instagram.com/reel/DEjlS_ys7j-/?igsh=OG9ydDVuM2p1anpk
2025-06-04,180 MIN RAVE (20-23Uhr),Prismatic,Dortmund,https://www.instagram.com/reel/DEjlS_ys7j-/?igsh=OG9ydDVuM2p1anpk
2025-07-02,180 MIN RAVE (20-23Uhr),Prismatic,Dortmund,https://www.instagram.com/reel/DEjlS_ys7j-/?igsh=OG9ydDVuM2p1anpk
2025-02-15,BAD GIRLS CLUB,Stollen134,Dortmund,https://www.instagram.com/p/DD0OM0IMFAj/?igsh=MXh6eGdleDFkdzgxbQ==
2025-01-25,LOST IN RAVES PRESENTS DEFINITION OF HARD VOL.2,Stollen134,Dortmund,https://www.instagram.com/reel/DExsYQnMBjX/?igsh=MTQ4eDY0YmI4cXo5dQ==
2025-01-24,WACH,Stollen134,Dortmund,https://www.instagram.com/reel/DE2v_WGg5en/?igsh=OXU5bjExZHVidTBt
2025-01-31,RAVE INDUSTRY,Stollen134,Dortmund,https://www.instagram.com/reel/DEvDBi7tanf/?igsh=MTNwM2htMnhzMTMyNQ==
2025-02-07,ALÉGARO All Night Long,Samy's Club,Düsseldorf,https://www.instagram.com/samys.club?igsh=eGIweng0bmtrMTN5
2025-01-22,HEPHAISTOS B2B RANDOM (19-23Uhr),Prismatic,Dortmund,https://www.instagram.com/reel/DFDzCX3tk7Q/?igsh=aHp4bTBuazhpOXFl
2025-02-21,Bassmania Festival,Hawerkamp,Münster,https://www.instagram.com/p/DEQPuxytv16/?igsh=eXRvZjd3M2R4eW53
2025-03-07,Bassmania B-DAY Wochenende Festival,Favela,Münster,https://www.instagram.com/p/DE0E_WAOSdh/?igsh=bTZ2bW43OGhkaHdq
2025-03-08,Bassmania B-DAY Wochenende Festival,Favela,Münster,https://www.instagram.com/p/DE0E_WAOSdh/?igsh=bTZ2bW43OGhkaHdq
2025-04-11,Bassmania Wochenende Festival,Favela,Münster,https://www.instagram.com/p/DE63adANDnO/?igsh=c3V4b2tjZmJlajVy
2025-04-12,Bassmania Wochenende Festival,Favela,Münster,https://www.instagram.com/p/DE63adANDnO/?igsh=c3V4b2tjZmJlajVy
2025-04-19,Bassmania Osterwochenende Festival,Stollen134,Dortmund,https://www.instagram.com/p/DEnRs2jtvJ0/?igsh=b3c1MDJjeDl0N2k0
2025-04-20,Bassmania Osterwochenende Festival,Stollen134,Dortmund,https://www.instagram.com/p/DEnRs2jtvJ0/?igsh=b3c1MDJjeDl0N2k0
2025-04-30,Bassmania pres. Schranz in den Mai,Stollen134,Dortmund,https://www.instagram.com/p/DFDbPeHNu-X/?igsh=MTR3cXlieHdsYzFnOA==
2025-10-02,Bassmania - Tag der Deutschen Einheit,Stollen134,Dortmund,https://www.instagram.com/p/DE9h0WGtMSC/?igsh=cjNmM2Nsa2ptZnhl
2025-10-31,Bassmania Halloween 2025 - Münster,Favela,Münster,https://www.instagram.com/p/DEl1xYDtvaa/?igsh=MXFjZjM1enJpczM3
2025-10-31,Bassmania Halloween 2025 - Dortmund,Stollen134,Dortmund,https://www.instagram.com/p/DEkRlkENQKN/?igsh=dTJpYm83azJ6NWcw
2025-04-12,Rave Destruction X Prelude,Prismatic,Dortmund,https://rausgegangen.de/events/rave-destruction-x-prelude-1/?mtm_campaign=teilen_event&mtm_kwd=web
2025-03-08,Rave Destruction X Prelude,Prismatic,Dortmund,https://rausgegangen.de/events/rave-destruction-x-prelude-0/?mtm_campaign=teilen_event&mtm_kwd=web
2025-03-01,HARD CLUB x KARNEVAL x GREG NOTILL,Prismatic,Dortmund,https://rausgegangen.de/events/hard-club-x-karneval-x-greg-notill-0/?mtm_campaign=teilen_event&mtm_kwd=web
2025-01-31,RUHRPOTT RAVE,Prismatic,Dortmund,https://www.instagram.com/p/DE4BYRQsRAa/?igsh=MWw0OWE3c3FtbmRmMg==
2025-01-25,BERRYLECTRO FAVELA 360° HARDTECHNO,Favela,Münster,https://www.instagram.com/reel/DEKjN_uMAVT/?igsh=c3hmdHB2ZnVtODZ4
2025-01-24,BLAME THE BOOKER mit KAROL,Mikroport,Krefeld,https://www.instagram.com/reel/DE3JznUurWW/?igsh=MThwanQwZGZhbDMxdg==
2025-01-17,SCHNELLE NACHT XXL,Die Nacht,Mönchengladbach,https://www.instagram.com/reel/DEu6UKKN5zL/?igsh=MWVvYnVuNjZ1YmdjMg==
2025-07-12,SMAG Sundance Festival,Seaside Beach Baldeneysee,Essen,https://www.instagram.com/smagsundance?igsh=MTNtN3hnMDgxb3BpYw==
2025-01-10,Karamustan All Night Long,Matrix,Bochum,
2025-01-11,CYBER NETIC,PM93,Essen,
2025-01-11,Knusper, Venom 666, MRCL,Projekt X,Bochum,
2025-01-11,Athéna,Stahlwerk,Düsseldorf,
2025-01-11,Tekk war nie weg,Mikroport,Krefeld,
2025-01-17,Samy's Techno Bar,Samy's Club,Düsseldorf,https://www.instagram.com/samys.club?igsh=eGIweng0bmtrMTN5
2025-01-17,EhrenKlub im Schrotty #6 - mit Hades, Isabelle Beaucamp, JOWI, Nyctonian UVM,Schrotty,Köln,https://www.instagram.com/reel/DEwh_T8yCfx/?igsh=ZjBzbXVhMDM2M3gx
2025-01-18,BLACKOUT,PM93,Essen,https://www.instagram.com/reel/DExcVklMbXR/?igsh=QkFFanlod1JGTA%3D%3D
2025-01-18,BUBBLE BOUNCE (12-22 Uhr),Trip Studios (hafen7),Neuss,https://www.instagram.com/reel/DEVMRGviBYx/?igsh=QkFKSUxTWjhkeg%3D%3D
2025-01-18,TECHNOHEADZ,Matrix,Bochum,https://www.instagram.com/p/DEfo6Y9sInE/?igsh=XzFQT1RLTHl3&img_index=1
2025-01-18,KONTROLLVERLUST IX (Jahresauftakt),Druckluft,Oberhausen,https://www.instagram.com/reel/DEqW1etMgg-/?igsh=X2o4SWFad01M
2025-01-18,HEXAGON RAVES: Welcome to 2025,Mikroport,Krefeld,https://www.instagram.com/p/DEw6uKEg9NG/?igsh=QkFKYUhxNFI5bg%3D%3D
2025-01-18,Samy's Techno Bar,Samy's Club,Düsseldorf,https://www.instagram.com/samys.club?igsh=eGIweng0bmtrMTN5
2025-01-24,FROSTY NIGHTS,AREA 15,Bochum,https://www.instagram.com/reel/DEqBSgOo3uA/?igsh=X3dLX0JUNC1T
2025-01-25,FREQUENCY CLASH,PM93,Essen,https://www.instagram.com/reel/DE2DnvZMV55/?igsh=X3VGTU5xcDJq
2025-01-25,SECRETRAVES x BAD PORTIER,Köln,https://chat.whatsapp.com/FubaTyqDC6pABbqGORPBO2
2025-01-25,TRINITY RAVE,Matrix,Bochum,https://www.instagram.com/reel/DEcraQKIteX/?igsh=QkFJakF2OTlrRg%3D%3D
2025-01-25,ZAHNI'S FUCKING FRIDAY TOUR STOP pres. by CODE RED,Mikroport,Krefeld,https://www.instagram.com/share/_qA-q9r5p
2025-01-25,Bochum Is Calling,Projekt X,Bochum,https://www.instagram.com/reel/DEnL-qXsFvS/?igsh=QkFJVTlmUno1TQ%3D%3D
2025-01-26,Mandy Rays Dirty Thirty AFTERHOUR (8-12 Uhr),Projekt X,Bochum,https://www.instagram.com/share/BAFtxDysIb
2025-01-31,SECRETRAVES - GAMECHANGER,Düsseldorf,https://chat.whatsapp.com/GrNqlKodXugAsoAVT0mTTH
2025-01-31,X-BASS,viersieben,Duisburg,https://www.instagram.com/p/DEUNQmaI6kt/?img_index=1&igsh=MW5mMHo3bmpycTc2Zg==
2025-02-01,X-BASS,viersieben,Duisburg,https://www.instagram.com/p/DEUNQmaI6kt/?img_index=1&igsh=MW5mMHo3bmpycTc2Zg==
2025-02-01,CODE GREEN,Matrix,Bochum,https://www.instagram.com/reel/DEzVAlqIdbQ/?igsh=MWo1eWw2M2poNGtsNQ==
2025-02-01,HART ABER HERZLICH (BUTAN EVENT),U-Club,Wuppertal,https://www.instagram.com/p/DEW02r-MFwR/?igsh=MWNxNGo3YWtrdTZlZQ==
2025-02-01,Polaar Techno 2025 Opening,Rotunde,Bochum,https://www.instagram.com/reel/DE0L1GoSkLI/?igsh=NXJ4cGZ5NHN0Z3No
2025-02-01,Snowdance Church Rave,Marktkirche,Essen,https://www.instagram.com/reel/DD47S10OIWg/?igsh=bWhvaXZxeXA0d2lp
2025-02-01,SECRETRAVES,Düsseldorf,https://chat.whatsapp.com/FubaTyqDC6pABbqGORPBO2
2025-02-01,BANANA RAVE,Samy's Club,Düsseldorf,https://www.instagram.com/reel/DEsGT-zMzNs/?igsh=MTQ1aDg4OGpncGU4Yg==
2025-02-02,OFF-SEASON Special (14 Uhr),hafen7,Neuss,https://www.instagram.com/reel/DEXu4beta1g/?igsh=N3lxOGt0MzlxcGIx
2025-02-08,Ravemania,Schlachthof,Düsseldorf,https://www.instagram.com/reel/DEH140IgwiO/?igsh=MTc2bTFmaHFiZ3ZvNg==
2025-02-08,Heaven & Hill - Techno Edition,ENNI Eventhalle,Moers,https://www.instagram.com/p/DCZjynsNPIT/?igsh=b3lndnozcGowZGtx
2025-02-14,TRINITY RAVE (Roses are red, Basslines are better),Matrix,Bochum,https://www.instagram.com/reel/DE2LTH8uHIY/?igsh=YTMwcjQ3bnV6MDgz
2025-03-01,Ravemania (Karneval Special),Schlachthof,Düsseldorf,https://www.instagram.com/ravemania.official/?igsh=aDJsbXBtNHp0aGlu
2025-03-07,DOPAMYN Indoor Festival,Delta,Essen,https://www.instagram.com/reel/DE75LSturHN/?igsh=cGJjanJqbG1jOHIz
2025-03-08,SURVIVAL & HEXAGON RAVES PRESENT: CHAIN REACTION,Mikroport,Krefeld,https://www.instagram.com/p/DE0C3S4AtTA/?igsh=d3VicHhvd3FveDQ2
2025-03-15,VERKNIPT,Turbinenhalle,Oberhausen,https://www.instagram.com/verkniptevents/?igsh=NXlpMzlwcWowb2tn
2025-04-26,PollerWiesen Opening 2025,Jugendpark,Köln,https://www.instagram.com/reel/DDHr2CmMjZN/?igsh=eWdkajQ4czg2ejV4
2025-04-30,MAYDAY 2025,Westfalenhallen,Dortmund,https://www.instagram.com/reel/DDujFrJAlB0/?igsh=MTVmZnR3MHUxcTlrMA%3D%3D
2025-05-31,Heaven & Hill Festival,Halde Norddeutschland,Neukirchen-Vluyn,https://www.instagram.com/p/DDmm_8HKmPr/?igsh=NHB1ampmOWF1Zzcz
2025-05-31,Rave im Stadtgarten (15-22 Uhr),Stadtgarten,Gelsenkirchen,https://www.instagram.com/partykumpel_ruhrgebiet/?igsh=ZzV3b2Nlb3BheTQz
2025-06-08,PollerWiesen Festival 2025,Revierpark Wischlingen,Dortmund,https://www.instagram.com/reel/DDM3IW8gyNO/?igsh=bGlpZTlpbWdpOXdm
2025-07-05,Ruhr In Love,Olgapark,Oberhausen,https://www.instagram.com/ruhrinlove/?igsh=ZmVpNWhpcjF1Z3l5
2025-07-11,Stone Techno Festival,Zeche Zollverein,Essen,https://www.instagram.com/reel/DDfJelBgZH9/?igsh=MWRyNGd5aDlmMXYzbA%3D%3D
2025-07-12,Stone Techno Festival,Zeche Zollverein,Essen,https://www.instagram.com/reel/DDfJelBgZH9/?igsh=MWRyNGd5aDlmMXYzbA%3D%3D
2025-07-13,Stone Techno Festival,Zeche Zollverein,Essen,https://www.instagram.com/reel/DDfJelBgZH9/?igsh=MWRyNGd5aDlmMXYzbA%3D%3D
2025-07-13,PollerWiesen Boat 2025,MS Rheinenergie,Köln,https://www.instagram.com/reel/DDXKM2ZJ6kf/?igsh=MTRzNGd6cWJkNTl4YQ%3D%3D
2025-07-18,PAROOKAVILLE,Airport Weeze,Weeze,https://www.instagram.com/parookaville/?igsh=cjB5M2luZnNuMm5w
2025-07-19,PAROOKAVILLE,Airport Weeze,Weeze,https://www.instagram.com/parookaville/?igsh=cjB5M2luZnNuMm5w
2025-07-20,PAROOKAVILLE,Airport Weeze,Weeze,https://www.instagram.com/parookaville/?igsh=cjB5M2luZnNuMm5w
2025-08-08,Electrisize,Gelände Haus Hohenbusch,Erkelenz,https://www.instagram.com/electrisize/?igsh=MXV0djN3b29hOTE4bA%3D%3D
2025-08-09,Electrisize,Gelände Haus Hohenbusch,Erkelenz,https://www.instagram.com/electrisize/?igsh=MXV0djN3b29hOTE4bA%3D%3D
2025-08-09,Heile Welt Open Air,Halde Norddeutschland,Neukirchen-Vluyn,https://www.instagram.com/p/DCM4UixNj9r/?igsh=MXR0enk0eHgzeWF5OA%3D%3D
2025-08-10,Electrisize,Gelände Haus Hohenbusch,Erkelenz,https://www.instagram.com/electrisize/?igsh=MXV0djN3b29hOTE4bA%3D%3D
2025-08-22,Nibirii,Dürener Badesee,Düren,https://www.instagram.com/nibirii/?igsh=MWg4aXpkdndqODRtcQ%3D%3D
2025-08-23,Nibirii,Dürener Badesee,Düren,https://www.instagram.com/nibirii/?igsh=MWg4aXpkdndqODRtcQ%3D%3D
2025-08-24,Nibirii,Dürener Badesee,Düren,https://www.instagram.com/nibirii/?igsh=MWg4aXpkdndqODRtcQ%3D%3D
2025-10-31,Hasenbau Halloween Special,Druckluft,Oberhausen,https://www.instagram.com/hasenbautechno/?igsh=MXA5NWQza3RpbmMweA%3D%3D

